attrib1,attrib2,attrib3,attrib4,attrib5,attrib6,attrib7,attrib8,attrib9,attrib10,attrib11,attrib12,attrib13,attrib14,attrib15,attrib16,attrib17,attrib18,attrib19,attrib20,actual_class,subset,predicted_class,trust_score,dist_to_non_pred,dist_to_pred,our_score,model_confidence,mean_distance,rowID
53,0,0,0,1,1,0,0,3,3,51,7,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,16
35,3,2,2,1,0,0,0,1,4,81,2,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,17
31,4,1,4,0,0,0,1,3,3,500,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,18
30,2,0,6,0,1,0,1,5,3,597,2,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,19
29,2,0,6,1,1,0,0,2,3,123,1,999,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,20
36,2,1,1,0,1,1,1,0,3,277,1,999,0,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,21
38,10,0,6,0,1,0,0,0,4,167,4,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,22
38,2,1,6,1,1,0,0,0,0,55,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,23
44,6,0,6,0,0,0,0,0,4,627,1,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,24
44,2,2,1,0,1,1,0,1,4,100,4,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,25
28,3,1,5,0,0,0,1,2,3,82,2,999,0,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,26
40,2,0,4,0,1,1,1,2,3,203,6,999,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,27
34,3,0,0,0,0,0,0,1,4,78,2,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,28
34,8,0,7,0,1,0,1,5,3,488,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,29
43,9,0,1,1,0,0,0,0,2,35,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,30
24,1,1,1,0,1,0,1,8,1,114,1,999,0,0,-1.8,93.075,-47.1,1.423,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,31
35,4,0,1,0,0,0,1,3,4,133,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,32
33,2,0,6,0,0,0,0,1,2,142,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,33
51,2,2,4,0,0,1,1,8,0,583,3,999,0,0,-1.8,93.075,-47.1,1.466,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,34
43,3,0,0,0,1,0,0,0,1,97,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,35
47,2,0,4,0,0,0,0,1,3,252,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,36
40,2,1,1,1,0,0,0,1,0,349,2,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,37
40,2,0,1,1,1,0,0,1,4,17,10,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,38
30,3,0,3,0,1,0,1,0,0,1038,1,999,1,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,39
34,4,1,4,0,1,1,1,7,4,136,1,999,0,0,-1.8,92.84299999999999,-50.0,1.726,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,40
41,3,1,0,0,1,0,1,2,3,421,6,999,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,41
46,10,0,5,1,1,0,1,5,3,23,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,42
36,2,2,1,0,0,0,1,2,2,1960,3,999,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,43
31,1,0,1,1,1,1,0,1,2,146,2,999,0,0,1.4,94.465,-41.8,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,44
20,11,1,1,0,1,0,1,2,0,100,4,999,0,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,45
46,3,1,2,1,1,0,1,2,0,169,1,999,0,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,46
34,3,0,2,1,0,0,0,1,1,180,1,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,47
35,4,1,4,1,1,0,1,2,3,53,1,999,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,48
30,3,0,0,0,0,0,1,8,0,87,4,999,1,1,-1.8,93.075,-47.1,1.405,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,49
39,8,2,4,0,1,0,0,1,3,529,4,999,0,0,1.4,94.465,-41.8,4.955,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,50
54,3,0,0,1,2,2,1,3,2,88,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,51
36,3,0,3,0,1,1,0,1,4,31,14,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,52
51,2,1,6,0,1,0,1,3,1,179,11,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,53
49,0,0,0,1,2,2,0,0,1,524,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,54
36,2,1,4,0,1,0,1,0,0,74,3,999,1,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,55
31,10,0,3,1,1,0,0,0,4,70,1,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,56
40,2,0,6,0,0,0,0,1,4,44,5,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,57
29,1,0,1,0,1,0,1,2,0,556,1,999,0,0,1.4,93.91799999999999,-42.7,4.96,5228.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,58
59,3,0,3,0,1,0,1,8,3,177,1,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,59
44,1,0,1,0,0,0,1,3,3,464,3,999,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,60
35,3,2,3,0,0,1,0,0,1,131,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,61
50,6,0,0,0,1,0,1,5,1,389,1,999,1,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,62
46,3,0,3,1,0,0,1,3,0,109,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,63
44,3,0,3,1,0,0,1,2,0,29,12,999,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,64
41,4,0,3,0,1,0,1,5,3,348,3,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,65
60,5,0,4,0,1,0,0,1,3,190,2,999,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,66
32,3,0,0,1,0,0,1,2,3,360,17,999,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,67
42,8,0,6,0,1,0,1,3,4,59,3,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,68
42,3,0,2,0,1,1,0,0,1,99,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,69
35,3,0,5,0,1,0,1,0,3,1262,3,999,0,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,70
43,8,0,1,0,1,0,0,4,2,181,1,999,0,0,-0.1,93.79799999999999,-40.4,4.936,5195.8,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,71
42,4,0,4,0,1,0,0,0,2,280,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,72
36,3,0,0,0,0,1,1,5,2,217,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,73
42,8,0,6,0,0,1,1,3,4,327,3,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,74
38,4,2,1,0,1,1,1,8,3,279,3,999,1,1,-1.8,93.075,-47.1,1.41,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,75
38,3,0,4,0,0,0,0,1,1,291,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,76
29,2,1,1,0,1,0,1,2,2,1272,1,999,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,77
36,3,0,3,1,1,0,1,2,3,209,1,999,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,78
29,2,1,1,0,1,0,1,8,3,733,1,999,0,0,-1.8,93.075,-47.1,1.365,5099.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,79
57,4,0,0,1,0,1,0,0,1,50,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,80
30,4,0,4,0,0,1,1,3,2,128,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,81
41,2,0,1,0,1,0,1,5,0,268,2,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,82
46,1,0,1,0,1,1,1,8,3,354,1,999,0,0,-1.8,93.075,-47.1,1.365,5099.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,83
47,3,0,0,0,0,0,0,0,4,285,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,84
39,2,0,6,0,1,0,1,3,3,90,2,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,85
50,3,0,3,1,1,0,1,3,1,60,4,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,86
45,1,0,0,0,0,0,0,2,1,152,4,999,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,87
40,8,0,6,0,0,0,1,8,4,775,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,88
46,1,0,1,0,1,0,1,3,1,183,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,89
35,2,0,6,1,0,0,1,3,0,45,3,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,90
55,3,0,0,1,1,1,1,3,0,213,3,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,91
31,0,0,0,0,0,0,1,3,4,172,5,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,92
34,2,1,6,0,0,1,1,8,2,203,2,999,0,0,-1.8,93.075,-47.1,1.4980000000000002,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,93
33,3,0,3,0,1,0,1,0,4,656,1,999,0,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,94
54,2,2,1,0,0,1,1,5,4,377,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,95
42,2,0,6,1,0,0,1,2,4,148,1,999,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,96
37,6,0,6,0,0,0,0,1,3,288,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,97
49,1,0,1,0,0,0,1,5,1,48,1,999,1,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,98
33,0,2,4,0,1,0,1,3,3,321,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,99
41,0,0,6,0,1,0,1,3,3,36,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,100
30,4,1,1,0,0,0,1,3,0,638,4,999,0,0,1.4,93.444,-36.1,4.963,5228.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,101
42,1,0,1,1,0,0,0,1,3,84,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,102
30,2,0,1,0,0,0,0,1,3,92,2,999,0,0,1.4,94.465,-41.8,4.958,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,103
48,10,0,1,1,1,0,0,0,2,88,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,104
29,4,0,6,0,1,0,0,3,3,137,1,999,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,105
38,2,0,1,0,0,0,0,1,2,180,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,106
52,6,2,4,0,1,0,1,8,2,85,7,999,0,0,-1.8,93.075,-47.1,1.3719999999999999,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,107
36,2,1,6,0,1,0,1,3,1,74,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,108
34,2,0,6,0,1,0,1,0,1,122,2,999,1,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,109
48,2,0,6,1,1,0,1,3,1,1208,3,999,0,0,1.4,93.444,-36.1,4.968,5228.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,110
45,3,0,0,1,1,1,0,1,4,19,3,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,111
36,7,1,0,1,0,0,0,0,4,544,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,112
52,4,0,5,1,1,0,0,0,4,553,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,113
30,1,1,4,0,1,0,1,8,4,186,2,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,114
28,4,1,6,1,0,0,1,2,1,808,3,999,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,115
39,2,0,1,0,0,0,0,1,1,93,6,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,116
52,4,0,4,1,0,0,1,3,2,244,1,999,0,0,1.4,93.444,-36.1,4.967,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,117
52,6,0,6,0,0,0,0,5,0,22,3,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,118
37,2,0,1,0,0,0,0,0,1,1106,4,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,119
30,3,0,0,0,1,0,1,5,2,193,5,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,120
32,6,0,6,0,1,0,0,0,2,230,8,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,121
51,4,0,4,0,2,2,1,3,2,89,16,999,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,122
33,2,1,6,0,1,0,1,5,3,77,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,123
41,4,1,4,0,2,2,0,0,4,136,2,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,124
44,4,0,4,1,0,0,0,0,3,203,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,125
35,3,0,3,0,0,0,0,1,0,232,1,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,126
38,4,2,1,0,1,0,1,3,0,384,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,127
49,2,0,6,0,1,1,0,0,3,123,2,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,128
59,0,2,0,1,0,0,1,2,1,277,1,999,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,129
38,3,1,3,1,0,0,0,0,4,91,2,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,130
55,1,0,1,0,0,0,0,0,1,165,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,131
45,3,0,3,0,0,0,1,3,2,61,3,999,0,0,1.4,93.444,-36.1,4.967,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,132
30,2,2,6,0,0,0,1,3,3,103,7,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,133
36,10,0,1,0,1,0,1,0,1,283,1,999,1,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,134
45,9,0,5,0,1,0,0,0,3,251,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,135
36,3,0,3,0,0,0,1,2,3,85,2,999,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,136
33,2,0,6,0,1,0,1,5,4,41,4,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,137
58,2,2,1,0,0,0,1,3,1,290,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,138
53,8,0,6,0,0,0,1,3,3,131,1,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,139
48,2,0,4,0,1,0,0,0,3,178,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,140
35,1,1,4,1,1,0,1,5,1,114,2,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,141
53,4,0,1,0,0,0,0,0,4,269,2,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,142
46,2,1,1,0,1,0,0,0,1,344,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,143
44,1,1,1,0,0,0,1,0,4,318,1,999,1,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,144
42,4,1,4,0,1,0,1,5,4,173,1,999,1,1,-0.1,93.2,-42.0,4.021,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,145
39,4,0,4,0,0,0,1,2,3,84,6,999,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,146
41,3,2,0,1,1,0,0,0,0,63,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,147
28,11,1,3,1,1,0,0,0,3,213,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,148
37,2,2,6,0,1,0,0,1,0,82,3,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,149
41,6,2,2,0,1,0,1,5,3,167,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,150
30,4,1,4,0,0,0,0,0,4,509,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,151
49,1,1,1,0,0,1,1,0,2,231,2,999,1,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,152
58,4,0,5,0,1,0,0,1,4,78,1,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,153
59,6,0,0,1,1,1,0,0,1,318,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,154
35,4,0,4,0,1,0,1,3,0,105,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,155
57,1,2,1,0,0,0,0,0,0,78,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,156
